name,id,origin date,status,type,street,city,state,zip
JENNY LEE'S HOT DOGS LLC,1201374,2016-03-01,Active,Domestic Limited Liability Company,88 WOODLAND AVE,WATERBURY,CT,06705
"JIM'S HOT DOGS, LLC",1143204,2014-05-08,Active,Domestic Limited Liability Company,42 BAYBERRY ROAD,FAIRFIELD,CT,06825
JJ DOGS LLC,1069122,2012-04-23,Active,Domestic Limited Liability Company,280 BRANFORD RD #753,NORTH BRANFORD,CT,06471
"JOE'S DOGS, LLC",1155915,2014-09-25,Active,Domestic Limited Liability Company,56 MOUNT PLEASANT STREET,DERBY,CT,06418
JOHNS DOG HOUSE L.L.C.,0812547,2005-02-23,Active,Domestic Limited Liability Company,600 PROSPECT ST,NAUGATUCK,CT,06770
"JUMBO DOG ARTBOOKS, LLC",1124311,2013-11-08,Active,Domestic Limited Liability Company,2 BAYWATER DRIVE,DARIEN,CT,06820
"JUNE'S DOG GROOMING & KENNEL, INC.",0191124,1986-10-07,Active,Corporation,48 MAIN STREET ANNEX,NEW HAVEN,CT,06512
"KURLY DOG INVESTMENTS, LLC",0790966,2004-07-19,Active,Domestic Limited Liability Company,136 PAWSON RD.,BRANFORD,CT,06405
LADY AND THE TRAMP DOG GROOMING LLC,1131773,2014-02-07,Active,Domestic Limited Liability Company,16 TOLLAND TPK,WILLINGTON,CT,06279
"LAZY DOG ENTERPRISES, LLC",0938929,2008-05-21,Active,Domestic Limited Liability Company,42 MAY STREET,NAUGATUCK,CT,06770
"LAZY DOG MANAGEMENT, LLC",1182312,2015-07-30,Active,Domestic Limited Liability Company,"266 BROAD ST, FIRST FLOOR, FIRST FLOOR",MILFORD,CT,06460
L DOG TRUCKING LLC,1050712,2011-10-26,Active,Domestic Limited Liability Company,65 HICKS AVENUE #25,MERIDEN,CT,06451
"LEDR DOG TRAINING AND BOARDING, LLC",1168236,2015-02-13,Active,Domestic Limited Liability Company,30 WOODHAVEN DRIVE,BERLIN,CT,06037
"LET'S MAKE A DOG SMILE, LLC",1202615,2016-03-23,Active,Domestic Limited Liability Company,3 MYSTIC LANE,NORWALK,CT,06850
LIGHTFOOT DOG GROOMING LLC,1165856,2015-01-07,Active,Domestic Limited Liability Company,493 LITTLE CITY ROAD,HIGGANUM,CT,06441
LITTLE BLACK DOG RESCUE INC.,0566183,1997-07-02,Active,Corporation,217 VERES ST,FAIRFIELD,CT,06824
LITTLE WHITE DOG INC.,1040420,2011-06-13,Active,Corporation,13 FLINTROCK RD.,NORWALK,CT,06850
LOVE DOG PET CARE LLC,1185950,2015-09-16,Active,Domestic Limited Liability Company,37 RICH LANE,BRISTOL,CT,06010
"LOVE THE DOG, LLC",1194257,2016-01-05,Active,Domestic Limited Liability Company,73 KENDAL COURT,GUILFORD,CT,06437
"LOVING TOUCH DOG GROOMING, LLC",1203512,2016-04-14,Active,Domestic Limited Liability Company,585 HAZARD AVE. #7,ENFIELD,CT,06082
"LUCKY DOG DAYCAMP, LLC",0676808,2001-03-21,Active,Domestic Limited Liability Company,90 SOUTH PARK ST.,WILLIMANTIC,CT,06226
"LUCKY DOG GROOMING, LLC",0884231,2007-01-08,Active,Domestic Limited Liability Company,1211 FOXON ROAD,NORTH BRANFORD,CT,06471
"LUCKY DOG, INC. THE",0300314,1994-07-06,Active,Corporation,321 RICHARD ST.,NEWINGTON,CT,06111
"LUCKY DOG LANDSCAPING, LLC",1207762,2016-06-06,Active,Domestic Limited Liability Company,58 COTTAGE ST.,GROTON,CT,06340
"LUCKY DOG PROPERTIES, LLC",1077662,2012-07-13,Active,Domestic Limited Liability Company,6 DANIELS HILL ROAD,NEWTOWN,CT,06470
LUCKY DOG'S LLC,1037385,2011-05-09,Active,Domestic Limited Liability Company,20 SAXON ROAD,WETHERSFIELD,CT,06109
"LUCY THE DOG, LLC",1197807,2016-01-28,Active,Domestic Limited Liability Company,48 BEECHWOOD TERRACE,GRISWOLD,CT,06351
"MAD DOGS CRICKET CLUB, INC.",1025350,2011-01-06,Active,Corporation,55 TALL OAKS COURT,STAMFORD,CT,06903
MAGIC SCISSORS DOG GROOMING LLC,1117301,2013-08-26,Active,Domestic Limited Liability Company,1050 MADISON AVE,BRIDGEPORT,CT,06606
"MAMA NEDTI'S DOGS, LLC",0764778,2003-11-07,Active,Domestic Limited Liability Company,1059 BLUE HILLS AVE,BLOOMFIELD,CT,06002
"MANCHESTER DOG OWNERS GROUP, INC.",0950653,2008-09-25,Active,Corporation,"46 SAINT JAMES STREET, APT. 5",MANCHESTER,CT,06040
"MARIBEL'S DOG SPA & CARE, LLC",1184531,2015-08-27,Active,Domestic Limited Liability Company,32 SYLVAN KNOLL RD,STAMFORD,CT,06902
"ME- DOG HOUSE, LLC",0863921,2006-06-19,Active,Domestic Limited Liability Company,1522 HOPMEADOW ST,SIMSBURY,CT,06070
"MERIDEN DOG PARK, INC.",1212440,2016-07-25,Active,Corporation,,,,
MILITARY ORDER OF DEVIL DOGS INCORPORATED,0999521,2010-03-18,Active,Corporation,84 WILBUR ST.,PLANTSVILLE,CT,06479
"MILITARY ORDER OF THE DEVIL DOGS - NATIONAL KENNEL, INC.",1028505,2011-02-10,Active,Corporation,"DOUGLAS T. FISK, 42 CLOVER CT.",DAYVILLE,CT,06241
"MILITARY ORDER OF THE DEVIL DOGS - POUND 141, INC",1055599,2011-12-06,Active,Corporation,,,,
"MKO WORKING DOGS, LLC",0719942,2002-10-18,Active,Domestic Limited Liability Company,59 SMITH ROAD,WOODSTOCK,CT,06281
MOLLY DOG LAND LLC,1208898,2016-06-21,Active,Domestic Limited Liability Company,2 HUNTLEY ROAD,OLD LYME,CT,06371
"MONICA G DOG GROOMING, LLC",1152608,2014-08-20,Active,Domestic Limited Liability Company,178 TURTLE BAY DR,BRANFORD,CT,06405
MOO DOG PRESS LLC,0982175,2009-09-04,Active,Domestic Limited Liability Company,57 OLD MILL RD #2,MIDDLETOWN,CT,06457
"M & R HOT DOGS, LLC",0887012,2007-01-30,Active,Domestic Limited Liability Company,"73 PROSPECT, 1 FLOOR",NEW BRITAIN,CT,06051
"MURPH DOG REALTY, LLC",1208298,2016-06-10,Active,Domestic Limited Liability Company,22 KREIGER LANE,GLASTONBURY,CT,06032
"MY BIG DOGS, LLC",1031835,2011-03-14,Active,Domestic Limited Liability Company,94 GREAT POND ROAD,SIMSBURY,CT,06070
MY DOG'S DAYCARE LLC,0891705,2007-03-08,Active,Domestic Limited Liability Company,18 SANDSCREEN ROAD,AVON,CT,06001
"MY DOG'S PLACE, LLC",0627976,1999-08-13,Active,Domestic Limited Liability Company,2 AVERY ST.,MYSTIC,CT,06355
"MY DOG TRAINING CENTER, LLC",1022856,2010-12-08,Active,Domestic Limited Liability Company,"184 PROVIDENCE PIKE, X",PUTNAM,CT,06260
NATURALLY DOGS AND CATS LLC,1030078,2011-03-01,Active,Domestic Limited Liability Company,17 SILVER LANE,ENFIELD,CT,06082
"NEW MILFORD DOG PARK, INC.",1108226,2013-05-29,Active,Corporation,44 PICKETT DISTRICT RD,NEW MILFORD,CT,06776
"N &N HOT DOGS II, INC.",1195180,2016-01-15,Active,Corporation,1089 LITTLE BRITAIN ROAD,NEW WINDSOR,NY,12553
"NO DOGS ALLOWED, L.L.C.",0847311,2006-01-27,Active,Domestic Limited Liability Company,"118 WEST MAIN STREET, PO BOX 191",BALTIC,CT,06330
NO NO BAD DOG LLC,0871187,2006-08-29,Active,Domestic Limited Liability Company,16 CROSS STREET,NEW CANAAN,CT,06840
"NORTHEAST DOG FENCING, LLC",0979625,2009-08-06,Active,Domestic Limited Liability Company,6 ROBINS LANE,BROOKFIELD,CT,06804
"NORTHSTAR DOG TRAINING, L.L.C.",1087684,2012-11-30,Active,Domestic Limited Liability Company,132-B PARTRICK AVE,NORWALK,CT,06851
"NORTHWESTERN CONNECTICUT DOG CLUB, INCORPORATED THE",0058166,1946-04-15,Active,Corporation,"DAWN WILKES, 123 BRYNMOOR CT.",GOSHEN,CT,06756
NOSE TO TOES DOG GROOMING LLC,0832028,2005-08-26,Active,Domestic Limited Liability Company,128 SILO ROAD,BRISTOL,CT,06010
"NUTMEG PORTUGESE WATER DOG CLUB, INC.",0286437,1993-05-26,Active,Corporation,187 SOUTH RD,FARMINGTON,CT,06032
"OBEDIENCE DOG TRAINING CLUB OF WATERBURY, INCORPORATED",0058311,1961-09-05,Active,Corporation,11 ROBINSON LN.,OXFORD,CT,06478
OH MY DOGNESS! INC.,0738258,2003-01-29,Active,Corporation,"276 TEMPLE HILL ROAD, SUITE 2708",NEW WINDSOR,NY,12550
"OLD DOGS PRODUCTIONS, INC.",0904585,2007-06-26,Active,Corporation,2400 WEST ALAMEDA AVENUE,BURBANK,CA,91521
"ONE BIG DOG ANIMAL RESPITE FUND, INC.",1194144,2015-12-23,Active,Corporation,17 VERNON COURT,WOODBRIDGE,CT,06525
ONE LUCKY DOG LLC,1017171,2010-11-04,Active,Domestic Limited Liability Company,575 HOPMEADOW STREET,SIMSBURY,CT,06070
"ONE MORE DOG RESCUE, INC.",1076055,2012-06-22,Active,Corporation,16 COLLIER ROAD,WETHERSFIELD,CT,06109
"ONE SMART DOG, LLC",0957576,2008-12-15,Active,Domestic Limited Liability Company,50 PRINDLE AVE,ANSONIA,CT,06401
"OOH LA LA A MOBILE DOG SPA, LLC",0912570,2007-09-13,Active,Domestic Limited Liability Company,285 OLD FARM DR.,NEWINGTON,CT,06111
OUR DOGS FOR YOUR DOGS,1175193,2015-04-17,Active,General Partnership,2 AVERY ST,MYSTIC,CT,06355
PAWLOR FUR DOGS LLC,0959439,2009-01-09,Active,Domestic Limited Liability Company,57 CULLODEN ROAD,STAMFORD,CT,06902
PAWLOR FUR DOGS TOO LLC,1075796,2012-06-21,Active,Domestic Limited Liability Company,4 GILFORD STREET,STAMFORD,CT,06907
PAW PRINTS DOG GROOMING LLC,1197493,2016-01-29,Active,Domestic Limited Liability Company,560 FOREST RD,WEST HAVEN,CT,06516
"PAWSOME DOG, LLC",1107489,2013-05-20,Active,Domestic Limited Liability Company,151 ROCKWELL ROAD,BETHEL,CT,06801
"PENNEY'S HOT DOGS PLUS, LLC",0573523,1997-10-08,Active,Domestic Limited Liability Company,97 BARBERRY LANE,MERIDEN,CT,06451
PET DEGREE DOG TRAINING CENTER LLC,0920293,2007-11-28,Active,Domestic Limited Liability Company,"100 CORPORATE DRIVE, B101",TRUMBULL,CT,06611
"PETE'S DOG GEAR, LLC",0861520,2006-05-31,Active,Domestic Limited Liability Company,26 WILLIAMS DRIVE,PROSPECT,CT,06712
PHAT DAWGZ MOBILE DOG GROOMING LLC,1058095,2012-01-04,Active,Domestic Limited Liability Company,90 SPRING STREET,WINDSOR LOCKS,CT,06096
PITA'S PAWS: PET SITTING AND DOG WALKING LLC,1035347,2011-04-20,Active,Domestic Limited Liability Company,130 TERRYS PLAIN RD,SIMSBURY,CT,06070
"PLANET DOG FILMS, LLC",0659608,2000-09-06,Active,Domestic Limited Liability Company,182 FRONT ST,NEW HAVEN,CT,06513
PLR DOG TRAINING LLC,1205147,2016-05-03,Active,Domestic Limited Liability Company,1026 TOLLAND STREET,EAST HARTFORD,CT,06108
PLR DOG TRANSPORT LLC,1205148,2016-05-03,Active,Domestic Limited Liability Company,1026 TOLLAND STREET,EAST HARTFORD,CT,06108
"POLICE DOGS CENTRE CONNECTICUT, LLC",1125109,2013-11-15,Active,Domestic Limited Liability Company,50 HICKORY LANE,WEST HARTFORD,CT,06107
POOCHES & PAWS FOR CATS & DOGS LLC,0919134,2007-11-19,Active,Domestic Limited Liability Company,1 DAVENPORT PLACE,WLFD,CT,06492
"PORTUGUESE WATER DOG CLUB OF AMERICA, INC.",0058873,1976-05-21,Active,Corporation,822 E ROYAL RIDGE DRIVE,ORO VALLEY,AZ,85755
"POSH SPA FUR DOGS, LLC",1030659,2011-03-04,Active,Domestic Limited Liability Company,542 WEST HILL ROAD,STAMFORD,CT,06902
PREMIER YOUR DOG FENCE COMPANY,1016890,2010-10-01,Active,Corporation,3 MAIN ST.,TERRYVILLE,CT,06786
PRETTY GOOD DOGS LLC,0816199,2005-03-30,Active,Domestic Limited Liability Company,191 AUBURN ROAD,WEST HARTFORD,CT,06119
"P.U.P. DOG SERVICES, LLP",0932504,2008-03-24,Active,Domestic Limited Liability Partnership,16 SOREL DR,SHELTON,CT,06484
